seg	lat	lon	eleGPX	ele	eleShift	wind	grade	dist	radius	course	pTarget	pRider	pBrake	vMax	vTarget	vEntry	vExit	segTime	cumTime	cumDist	calcPath	calcSteps
1050	38.100283	-5.570804	406.75	406.75	0.00	2.55	8.96	21.40	85	105	160	161	0	80.00	5.68	5.36	5.68	13.59	2.269	38.004	14	1
1051	38.100234	-5.570569	407.25	408.66	1.41	-0.09	6.32	87.72	0	89	151	152	0	80.00	7.68	5.68	7.68	41.56	2.273	38.026	14	2
1052	38.100241	-5.569571	416.50	414.19	-2.31	-0.32	4.85	35.15	0	88	140	143	0	80.00	8.89	7.68	8.89	14.41	2.284	38.113	14	1
1053	38.100251	-5.569171	420.50	415.89	-4.61	4.20	2.44	10.05	23	115	136	153	0	80.00	10.08	8.89	10.08	3.74	2.288	38.148	14	1
1054	38.100213	-5.569067	421.50	416.14	-5.36	7.30	2.44	8.98	19	137	139	118	0	80.00	7.90	10.08	7.93	3.64	2.289	38.158	2	2
1055	38.100154	-5.568997	421.25	416.36	-4.89	9.77	-0.26	39.43	0	168	124	125	0	80.00	8.01	7.93	8.01	17.71	2.290	38.167	14	1
1056	38.099807	-5.568901	415.50	416.25	0.75	8.49	-0.26	53.09	0	148	124	127	0	45.79	9.29	8.01	9.29	20.71	2.295	38.207	14	1
1057	38.099401	-5.568581	415.25	416.11	0.86	7.12	-0.26	21.36	68	135	124	136	0	36.01	10.88	9.29	10.88	7.27	2.301	38.260	14	1
1058	38.099264	-5.568410	415.75	416.06	0.31	3.78	4.20	21.15	56	112	144	133	0	80.00	8.37	10.88	8.37	8.51	2.303	38.281	24	2
1059	38.099192	-5.568187	416.00	416.94	0.94	1.39	7.10	9.59	49	98	157	147	0	80.00	6.99	8.37	6.99	4.72	2.306	38.302	24	1
1060	38.099180	-5.568079	416.00	417.62	1.62	-0.06	7.10	17.68	57	90	157	152	0	80.00	7.21	6.99	6.99	9.10	2.307	38.312	4	0
1061	38.099181	-5.567878	416.50	418.87	2.37	-3.98	8.11	59.66	0	67	160	160	0	80.00	6.75	6.99	6.75	31.82	2.309	38.330	24	1
1062	38.099394	-5.567256	425.00	423.70	-1.30	-4.64	5.35	30.44	0	62	136	140	0	80.00	8.43	6.75	8.43	13.24	2.318	38.389	14	1
1063	38.099521	-5.566949	428.00	425.32	-2.68	-4.79	5.35	54.74	0	61	135	135	0	80.00	8.45	8.43	8.43	23.37	2.322	38.420	4	0
1064	38.099757	-5.566402	433.50	428.25	-5.25	-4.73	3.82	37.07	0	62	119	125	0	80.00	9.91	8.43	9.91	13.67	2.328	38.475	14	1
