seg	lat	lon	eleGPX	ele	eleShift	wind	grade	dist	radius	course	pTarget	pRider	pBrake	vTarget	vMax	vEntry	vExit	segTime	cumTime	cumDist	calcPath	calcSteps
114	38.012164	-5.745786	570.50	570.68	0.18	0.00	0.54	114.90	0	0	106	106	0	17.94	80.00	17.90	17.90	23.11	0.576	9.516	4	1
115	38.012075	-5.744481	572.25	571.30	-0.95	0.00	-3.18	41.51	0	0	0	60	0	29.22	39.17	17.90	23.45	7.13	0.582	9.631	1	4
116	38.012139	-5.744015	570.00	569.98	-0.02	0.00	-3.19	47.23	0	0	0	49	0	29.29	39.16	23.45	26.53	6.70	0.584	9.672	1	3
117	38.012377	-5.743569	568.00	568.47	0.47	0.00	-1.53	45.73	0	0	39	0	0	22.44	80.00	26.53	24.23	6.53	0.586	9.720	20	2
118	38.012723	-5.743286	567.25	567.77	0.52	0.00	0.19	47.53	0	0	103	45	0	19.23	80.00	24.23	20.41	8.03	0.588	9.765	2	3
119	38.013110	-5.743054	567.50	567.86	0.36	0.00	11.87	37.93	0	0	150	135	0	4.39	80.00	20.41	4.39	23.38	0.590	9.813	24	10
120	38.013377	-5.742789	568.75	572.33	3.58	0.00	3.15	332.72	0	0	125	126	0	10.93	80.00	4.39	10.93	111.50	0.596	9.851	14	5
121	38.015254	-5.739834	582.75	582.81	0.06	0.00	4.65	29.11	0	0	135	128	0	8.87	80.00	10.93	8.87	11.23	0.627	10.183	24	3
122	38.015452	-5.739617	584.75	584.17	-0.58	0.00	3.18	47.34	0	0	125	130	0	10.88	80.00	8.87	10.88	16.17	0.630	10.213	14	3
123	38.015853	-5.739434	585.75	585.67	-0.08	0.00	4.03	73.17	0	0	131	128	0	9.60	80.00	10.88	9.60	27.13	0.635	10.260	24	2
124	38.016510	-5.739375	587.25	588.62	1.37	0.00	4.30	112.84	0	0	132	132	0	9.27	80.00	9.60	9.27	43.80	0.642	10.333	24	2
125	38.017466	-5.738941	594.00	593.46	-0.54	0.00	3.41	44.45	0	0	127	130	0	10.50	80.00	9.27	10.50	15.50	0.655	10.446	14	2
126	38.017864	-5.738994	595.75	594.98	-0.77	0.00	0.45	86.72	0	0	105	116	0	18.26	80.00	10.50	17.59	20.43	0.659	10.490	1	5
127	38.018591	-5.739356	595.25	595.37	0.12	0.00	0.84	34.31	0	0	109	98	0	16.86	80.00	17.59	16.86	7.18	0.665	10.577	24	2
128	38.018900	-5.739367	595.25	595.66	0.41	0.00	2.74	34.72	0	0	122	110	0	11.69	80.00	16.86	13.10	8.55	0.667	10.611	2	3
